001543777137306 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   2   0   1   0   4 ]
001543777137569 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   2   0   1   0   4 ]
001543777137577 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   2   1   0   0   4 ]
001543777137577 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  1   1   0   1   0   4 ]
001543777137577 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   1   0   1   0   5 ]
001543777137687 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543777137699 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   1   0   1   0   5 ]
001543777137709 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   1   0   1   0   5 ]
001543777137786 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   1   0   1   0   5 ]
001543777138002 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543777138049 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   1   1   0   0   5 ]
001543777138049 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   1   0   0   5 ]
001543777138049 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  0   1   0   1   0   5 ]
001543777138358 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   1   1   0   0   5 ]
001543777138359 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   1   1   0   0   6 ]
001543777138359 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   1   1   0   1   5 ]
001543777138359 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   1   1   0   2   4 ]
001543777138359 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   1   1   0   3   3 ]
001543777138360 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   1   1   0   4   2 ]
001543777138360 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   1   1   0   5   1 ]
001543777138385 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   1   1   0   5   1 ]
001543777138494 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   1   1   0   4   1 ]
001543777138494 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   1   0   4   1 ]
001543777138555 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   3   1 ]
001543777138556 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   1   0   3   2 ]
001543777138617 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   3   2 ]
001543777138716 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   4   1 ]
001543777138741 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   2   1   0   4   1 ]
001543777138768 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   4   1 ]
001543777138802 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   3   1 ]
001543777138802 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   3   1   0   3   1 ]
001543777138820 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   3   1   0   2   1 ]
001543777138849 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  2   3   1   0   1   1 ]
001543777138903 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  2   3   1   0   1   1 ]
